LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,PaymentFrequency,DaysPastDue,OriginalValue,CreditScore,Term,AccountStatus
384,16525.58,16.99,428.87,MO,1463,11725,0,66,CH 13 BANKRUPTCY
385,3871.13,16.99,346.26,MO,13,9100,0,70,PAYING
386,1377.14,16.99,314.7,MO,0,8900,0,66,PAYING
387,4403.17,16.5,368.76,MO,0,11750,0,68,PAYING
388,4835.4,18.75,414.34,MO,0,11650,0,68,PAYING
389,15584.38,17.11,426.44,MO,1166,9650,0,66,REPO HOLD
390,8108.62,25,387.76,MO,733,10250,0,60,CH 13 BANKRUPTCY
391,4361.44,19.5,388.62,MO,859,8700,0,54,CH 13 BANKRUPTCY
392,6046.85,16.99,359.21,MO,36,9175,0,72,PAYING
393,2209.01,17.5,348.25,MO,0,6925,0,61,PAYING
394,3234.78,16.5,313.44,MO,0,8525,0,66,PAYING
395,1309.82,16.99,327.22,MO,0,9825,0,66,PAYING
396,2530.21,16.99,371.12,MO,0,9450,0,65,PAYING
397,2659.65,19.5,371.14,MO,587,8925,0,60,CH 13 BANKRUPTCY
398,3766.77,25,384.82,MO,67,11400,0,67,PAYING
399,4574.68,17.75,372.2,MO,0,9725,0,68,PAYING
400,2822.65,16.99,344.06,MO,8,9150,0,66,PAYING
401,1700.7,16,266.1,MO,0,6725,0,66,PAYING
402,5580.93,16.99,347.61,MO,32,10225,0,66,PAYING
403,6303.08,17.75,399.92,MO,14,11825,0,70,PAYING
404,2779.37,16.99,372.18,MO,0,8275,0,70,PAYING
405,1506.85,18,385.11,MO,0,9675,0,70,PAYING
406,2483.99,16.99,454.66,MO,0,14575,0,68,PAYING
407,4155.68,16.99,391.16,MO,0,11375,0,67,PAYING
408,2159.09,16.99,356.01,MO,64,8325,0,73,PAYING
409,6471.54,19.5,359.82,MO,24,9550,0,70,PAYING
410,3373.21,16.5,298.42,MO,0,8800,0,66,PAYING
411,1590.04,19.52,345.39,MO,73,8825,0,66,PAYING
412,1547.7,19.5,338.99,MO,2,8850,0,68,PAYING
413,3049.52,16.99,398.09,MO,348,11050,0,66,CH 13 BANKRUPTCY
414,4218.97,16,301.4,MO,10,9800,0,71,PAYING
415,1123.56,18,383.61,MO,36,9600,0,66,PAYING
